key,date,time_rd,lottery,draw,categoria,generated_at,best_signal,best_a11,decision,top12,topq,pales,fingerprint,source_rows_hist_used,graded
2026-06-14|Anguilla|Anguila 9PM|2026-06-14 21:00,2026-06-14,2026-06-14 21:00,Anguilla,Anguila 9PM,NUCLEO,2026-06-14T20:33:01.224008-04:00,0.025379509144970575,5,❌ NO JUGAR,"[""59"", ""52"", ""57"", ""33"", ""37"", ""12"", ""15"", ""46"", ""32"", ""41"", ""48"", ""43""]","[""59"", ""52"", ""57""]","[""52-59"", ""57-59"", ""33-59""]",63fa90895382e231,2400,1
2026-06-15|La Primera|Quiniela La Primera|2026-06-15 12:00,2026-06-15,2026-06-15 12:00,La Primera,Quiniela La Primera,NUCLEO,2026-06-15T11:36:53.738077-04:00,0.03408565320812124,6,❌ NO JUGAR,"[""43"", ""22"", ""93"", ""49"", ""76"", ""44"", ""14"", ""32"", ""56"", ""27"", ""73"", ""80""]","[""43"", ""22"", ""93""]","[""22-43"", ""43-93"", ""43-49""]",ddec8473db1bc9e9,2802,1
2026-06-15|Anguilla|Anguila 1PM|2026-06-15 13:00,2026-06-15,2026-06-15 13:00,Anguilla,Anguila 1PM,NUCLEO,2026-06-15T12:17:25.574149-04:00,0.025304892098511448,3,✅ JUGAR — NÚCLEO,"[""79"", ""43"", ""96"", ""89"", ""83"", ""82"", ""66"", ""60"", ""86"", ""27"", ""73"", ""44""]","[""79"", ""43"", ""96""]","[""43-79"", ""79-96"", ""79-89""]",3390498e5a97916b,534,1
2026-06-15|La Nacional|Loteria Nacional- Gana Más|2026-06-15 14:30,2026-06-15,2026-06-15 14:30,La Nacional,Loteria Nacional- Gana Más,NUCLEO,2026-06-15T13:19:31.094689-04:00,0.010122285138803375,2,✅ JUGAR — NÚCLEO,"[""04"", ""98"", ""70"", ""45"", ""42"", ""49"", ""92"", ""10"", ""76"", ""41"", ""32"", ""89""]","[""04"", ""98"", ""70""]","[""04-98"", ""04-70"", ""04-45""]",ae0e55dcd503d515,1062,1
2026-06-15|Anguilla|Anguila 6PM|2026-06-15 18:00,2026-06-15,2026-06-15 18:00,Anguilla,Anguila 6PM,NUCLEO,2026-06-15T14:47:19.443235-04:00,0.016212928737588703,2,✅ JUGAR — NÚCLEO,"[""39"", ""93"", ""46"", ""88"", ""91"", ""81"", ""03"", ""87"", ""63"", ""59"", ""43"", ""48""]","[""39"", ""93"", ""46""]","[""39-93"", ""39-46"", ""39-88""]",41b75bc3a9bd103e,1581,1
2026-06-15|Anguilla|Anguila 9PM|2026-06-15 21:00,2026-06-15,2026-06-15 21:00,Anguilla,Anguila 9PM,NUCLEO,2026-06-15T19:37:21.321057-04:00,0.010580109390276897,4,✅ JUGAR — NÚCLEO,"[""27"", ""34"", ""24"", ""62"", ""12"", ""28"", ""18"", ""94"", ""03"", ""42"", ""76"", ""79""]","[""27"", ""34"", ""24""]","[""27-34"", ""24-27"", ""27-62""]",9b1d4013fcdffaa7,1836,1
2026-06-15|La Nacional|Loteria Nacional- Noche|2026-06-15 21:00,2026-06-15,2026-06-15 21:00,La Nacional,Loteria Nacional- Noche,VIGILANCIA,2026-06-15T19:37:26.353960-04:00,0.002751290809183176,2,❌ NO JUGAR,"[""50"", ""14"", ""70"", ""79"", ""07"", ""38"", ""13"", ""00"", ""94"", ""27"", ""80"", ""12""]","[""50"", ""14"", ""70""]","[""14-50"", ""50-70"", ""50-79""]",5a87b7150db3ab44,1836,1
2026-06-16|La Primera|Quiniela La Primera|2026-06-16 12:00,2026-06-16,2026-06-16 12:00,La Primera,Quiniela La Primera,NUCLEO,2026-06-16T11:05:49.726219-04:00,0.03408565320812124,6,❌ NO JUGAR,"[""43"", ""64"", ""93"", ""03"", ""52"", ""76"", ""83"", ""14"", ""28"", ""98"", ""70"", ""24""]","[""43"", ""64"", ""93""]","[""43-64"", ""43-93"", ""03-43""]",845230ef76d1a8ca,2796,1
2026-06-16|Anguilla|Anguila 1PM|2026-06-16 13:00,2026-06-16,2026-06-16 13:00,Anguilla,Anguila 1PM,NUCLEO,2026-06-16T12:17:19.721990-04:00,0.010255146439969904,1,❌ NO JUGAR,"[""06"", ""21"", ""65"", ""35"", ""60"", ""33"", ""22"", ""27"", ""79"", ""94"", ""41"", ""83""]","[""06"", ""21"", ""65""]","[""06-21"", ""06-65"", ""06-35""]",9cc55967c6a87c3f,534,1
2026-06-16|La Nacional|Loteria Nacional- Gana Más|2026-06-16 14:30,2026-06-16,2026-06-16 14:30,La Nacional,Loteria Nacional- Gana Más,NUCLEO,2026-06-16T13:19:36.380779-04:00,0.010122285138803375,2,✅ JUGAR — NÚCLEO,"[""13"", ""04"", ""45"", ""98"", ""61"", ""62"", ""34"", ""49"", ""70"", ""89"", ""21"", ""22""]","[""13"", ""04"", ""45""]","[""04-13"", ""13-45"", ""13-98""]",8ef387969ecd1efc,1062,1
2026-06-16|Anguilla|Anguila 6PM|2026-06-16 18:00,2026-06-16,2026-06-16 18:00,Anguilla,Anguila 6PM,NUCLEO,2026-06-16T14:47:15.489993-04:00,0.016212928737588703,2,✅ JUGAR — NÚCLEO,"[""54"", ""00"", ""39"", ""88"", ""93"", ""43"", ""46"", ""26"", ""28"", ""33"", ""03"", ""70""]","[""54"", ""00"", ""39""]","[""00-54"", ""39-54"", ""54-88""]",0b4c60e6decdb5fc,1581,1
2026-06-16|Anguilla|Anguila 9PM|2026-06-16 21:00,2026-06-16,2026-06-16 21:00,Anguilla,Anguila 9PM,NUCLEO,2026-06-16T20:26:31.441349-04:00,0.003933084751522313,2,❌ NO JUGAR,"[""18"", ""12"", ""14"", ""97"", ""02"", ""68"", ""55"", ""72"", ""48"", ""24"", ""76"", ""28""]","[""18"", ""12"", ""14""]","[""12-18"", ""14-18"", ""18-97""]",1be000735a3b868c,1810,1
2026-06-16|La Nacional|Loteria Nacional- Noche|2026-06-16 21:00,2026-06-16,2026-06-16 21:00,La Nacional,Loteria Nacional- Noche,VIGILANCIA,2026-06-16T20:26:35.718989-04:00,0.004740400162136998,3,❌ NO JUGAR,"[""38"", ""23"", ""54"", ""08"", ""69"", ""42"", ""09"", ""14"", ""81"", ""80"", ""79"", ""12""]","[""38"", ""23"", ""54""]","[""23-38"", ""38-54"", ""08-38""]",2aa2d6a02cd9fa1f,1810,1
2026-06-17|La Primera|Quiniela La Primera|2026-06-17 12:00,2026-06-17,2026-06-17 12:00,La Primera,Quiniela La Primera,NUCLEO,2026-06-17T11:16:33.949612-04:00,0.03408565320812124,6,❌ NO JUGAR,"[""43"", ""37"", ""22"", ""93"", ""53"", ""83"", ""90"", ""14"", ""54"", ""06"", ""17"", ""51""]","[""43"", ""37"", ""22""]","[""37-43"", ""22-43"", ""43-93""]",cf3376006db08b8f,2790,1
2026-06-17|Anguilla|Anguila 1PM|2026-06-17 13:00,2026-06-17,2026-06-17 13:00,Anguilla,Anguila 1PM,NUCLEO,2026-06-17T12:17:09.831134-04:00,0.010255146439969904,1,❌ NO JUGAR,"[""00"", ""11"", ""65"", ""09"", ""27"", ""79"", ""94"", ""33"", ""42"", ""06"", ""83"", ""54""]","[""00"", ""11"", ""65""]","[""00-11"", ""00-65"", ""00-09""]",b953d9099579229b,534,1
2026-06-17|La Nacional|Loteria Nacional- Gana Más|2026-06-17 14:30,2026-06-17,2026-06-17 14:30,La Nacional,Loteria Nacional- Gana Más,NUCLEO,2026-06-17T13:19:29.122430-04:00,0.010122285138803375,2,✅ JUGAR — NÚCLEO,"[""40"", ""18"", ""78"", ""04"", ""68"", ""53"", ""49"", ""70"", ""98"", ""21"", ""41"", ""54""]","[""40"", ""18"", ""78""]","[""18-40"", ""40-78"", ""04-40""]",8320d519f69bbf08,1062,1
2026-06-17|Anguilla|Anguila 6PM|2026-06-17 18:00,2026-06-17,2026-06-17 18:00,Anguilla,Anguila 6PM,NUCLEO,2026-06-17T14:47:07.805159-04:00,0.016212928737588703,2,✅ JUGAR — NÚCLEO,"[""00"", ""46"", ""93"", ""43"", ""13"", ""39"", ""52"", ""88"", ""81"", ""59"", ""54"", ""70""]","[""00"", ""46"", ""93""]","[""00-46"", ""00-93"", ""00-43""]",a894836ea9571350,1581,1
2026-06-17|Anguilla|Anguila 9PM|2026-06-17 21:00,2026-06-17,2026-06-17 21:00,Anguilla,Anguila 9PM,NUCLEO,2026-06-17T18:18:58.239758-04:00,0.004072517961699132,2,❌ NO JUGAR,"[""11"", ""77"", ""35"", ""18"", ""42"", ""06"", ""20"", ""74"", ""72"", ""15"", ""48"", ""76""]","[""11"", ""77"", ""35""]","[""11-77"", ""11-35"", ""11-18""]",23db561b50d5a7b2,1856,1
2026-06-17|La Nacional|Loteria Nacional- Noche|2026-06-17 21:00,2026-06-17,2026-06-17 21:00,La Nacional,Loteria Nacional- Noche,VIGILANCIA,2026-06-17T18:19:02.580158-04:00,0.006450768781559684,4,🔍 JUGAR — VIGILANCIA,"[""40"", ""61"", ""91"", ""54"", ""47"", ""71"", ""90"", ""11"", ""42"", ""73"", ""52"", ""18""]","[""40"", ""61"", ""91""]","[""40-61"", ""40-91"", ""40-54""]",0b480581e84447d7,1856,1
2026-06-18|La Primera|Quiniela La Primera|2026-06-18 12:00,2026-06-18,2026-06-18 12:00,La Primera,Quiniela La Primera,NUCLEO,2026-06-18T10:32:06.139856-04:00,0.03408565320812124,6,❌ NO JUGAR,"[""43"", ""67"", ""82"", ""49"", ""55"", ""69"", ""02"", ""98"", ""14"", ""27"", ""80"", ""91""]","[""43"", ""67"", ""82""]","[""43-67"", ""43-82"", ""43-49""]",5e0f99afa11a2fd1,2784,1
2026-06-18|Anguilla|Anguila 1PM|2026-06-18 13:00,2026-06-18,2026-06-18 13:00,Anguilla,Anguila 1PM,NUCLEO,2026-06-18T12:18:53.488891-04:00,0.025304892098511448,3,✅ JUGAR — NÚCLEO,"[""43"", ""08"", ""73"", ""89"", ""21"", ""65"", ""09"", ""59"", ""81"", ""27"", ""55"", ""98""]","[""43"", ""08"", ""73""]","[""08-43"", ""43-73"", ""43-89""]",59cf9246d866d88c,534,1
2026-06-18|La Nacional|Loteria Nacional- Gana Más|2026-06-18 14:30,2026-06-18,2026-06-18 14:30,La Nacional,Loteria Nacional- Gana Más,NUCLEO,2026-06-18T13:19:23.419641-04:00,0.012472361284764458,2,✅ JUGAR — NÚCLEO,"[""67"", ""33"", ""04"", ""95"", ""49"", ""70"", ""40"", ""11"", ""14"", ""54"", ""98"", ""21""]","[""67"", ""33"", ""04""]","[""33-67"", ""04-67"", ""67-95""]",d0a2789258d102e5,1062,1
2026-06-18|Anguilla|Anguila 6PM|2026-06-18 18:00,2026-06-18,2026-06-18 18:00,Anguilla,Anguila 6PM,NUCLEO,2026-06-18T14:47:07.564675-04:00,0.016212928737588703,2,✅ JUGAR — NÚCLEO,"[""26"", ""87"", ""02"", ""13"", ""43"", ""00"", ""39"", ""27"", ""88"", ""91"", ""81"", ""12""]","[""26"", ""87"", ""02""]","[""26-87"", ""02-26"", ""13-26""]",2ba8614b10a661f8,1581,1
